timestamp,humidity,temperature
1783489062.109,52.6,25.5
1783489063.131,52.5,25.5
1783489064.154,52.4,25.5
1783489065.176,52.3,25.5
1783489066.199,52.3,25.5
1783489067.221,52.3,25.6
1783489068.244,52.3,25.5
1783489069.268,52.3,25.6
1783489070.292,52.3,25.6
1783489071.319,52.3,25.5
1783489072.342,52.4,25.5
1783489073.364,52.4,25.5
1783489074.387,52.4,25.5
1783489075.409,52.4,25.5
1783489076.432,52.4,25.5
1783489077.455,52.3,25.5
1783489078.477,52.2,25.5
1783489079.5,52.0,25.5
1783489080.523,51.9,25.5
1783489081.545,51.8,25.5
1783489082.568,51.8,25.5
1783489083.59,51.8,25.5
1783489084.612,51.8,25.5
1783489085.635,51.8,25.5
1783489086.657,51.8,25.5
1783489087.679,51.9,25.5
1783489088.702,51.9,25.5
1783489089.725,52.0,25.5
1783489090.751,52.0,25.5
1783489091.773,52.0,25.5
1783489092.797,52.0,25.5
1783489093.819,52.0,25.5
1783489094.842,51.9,25.5
1783489095.865,52.0,25.5
1783489096.887,51.9,25.5
1783489097.91,51.9,25.5
1783489098.933,51.9,25.5
1783489099.955,51.9,25.5
1783489100.978,52.0,25.5
1783489102.0,52.0,25.5
1783489103.023,52.0,25.5
1783489104.045,52.0,25.5
1783489105.067,52.0,25.5
1783489106.09,52.0,25.5
1783489107.112,51.9,25.5
1783489108.135,51.9,25.5
1783489109.158,51.9,25.5
1783489110.182,51.9,25.5
1783489111.205,51.8,25.5
1783489112.228,51.8,25.5
1783489113.25,51.7,25.5
1783489114.273,51.5,25.5
1783489115.296,51.4,25.5
1783489116.318,51.4,25.5
1783489117.341,51.4,25.5
1783489118.363,51.3,25.5
1783489119.386,51.3,25.5
1783489120.408,51.3,25.5
1783489121.431,51.3,25.5
1783489122.454,51.3,25.5
1783489123.477,51.3,25.5
1783489124.499,51.3,25.5
1783489125.522,51.3,25.5
1783489126.544,51.3,25.5
1783489127.567,51.3,25.5
1783489128.59,51.3,25.5
1783489129.614,51.2,25.5
1783489130.638,51.2,25.5
1783489131.661,51.1,25.5
1783489132.683,51.1,25.5
1783489133.706,51.1,25.5
1783489134.728,51.2,25.5
1783489135.751,51.2,25.5
1783489136.774,51.2,25.5
1783489137.796,51.3,25.5
1783489138.819,51.3,25.5
1783489139.841,51.3,25.5
1783489140.864,51.3,25.5
1783489141.887,51.3,25.5
1783489142.91,51.3,25.5
1783489143.932,51.3,25.5
1783489144.954,51.3,25.5
1783489145.977,51.2,25.5
1783489146.999,51.2,25.5
1783489148.021,51.2,25.5
1783489149.044,51.2,25.5
1783489150.071,51.1,25.5
1783489151.094,51.1,25.5
1783489152.119,51.1,25.5
1783489153.142,51.1,25.5
1783489154.164,51.1,25.5
1783489155.187,51.1,25.5
1783489156.209,51.2,25.5
1783489157.232,51.2,25.5
1783489158.254,51.2,25.5
1783489159.276,51.2,25.5
1783489160.298,51.1,25.5
1783489161.321,51.1,25.5
1783489162.343,51.0,25.5
1783489163.365,50.9,25.5
1783489164.387,50.9,25.5
1783489165.409,50.9,25.5
1783489166.431,50.8,25.5
1783489167.453,50.8,25.5
1783489168.475,50.7,25.5
1783489169.497,50.7,25.5
1783489170.52,50.8,25.5
1783489171.542,50.8,25.4
1783489172.565,50.8,25.5
1783489173.587,50.7,25.5
1783489174.609,50.7,25.5
1783489175.631,50.7,25.5
1783489176.653,50.7,25.5
1783489177.674,50.6,25.5
1783489178.696,50.6,25.5
1783489179.718,50.6,25.5
1783489180.74,50.6,25.5
1783489181.763,50.6,25.5
1783489182.785,50.6,25.5
1783489183.807,50.6,25.5
1783489184.829,50.6,25.5
1783489185.851,50.7,25.5
1783489186.873,50.7,25.5
1783489187.895,50.7,25.5
1783489188.917,50.8,25.5
1783489189.939,50.7,25.4
1783489190.966,50.7,25.5
1783489191.988,50.7,25.5
1783489193.01,50.7,25.4
1783489194.032,50.7,25.5
1783489195.054,50.7,25.5
1783489196.076,50.7,25.4
1783489197.098,50.6,25.4
1783489198.12,50.6,25.4
1783489199.143,50.4,25.4
1783489200.165,50.4,25.4
1783489201.187,50.3,25.4
1783489202.21,50.3,25.4
1783489203.231,50.3,25.4
1783489204.254,50.3,25.4
1783489205.276,50.3,25.4
1783489206.299,50.3,25.4
1783489207.321,50.4,25.4
1783489208.344,50.4,25.5
1783489209.367,50.4,25.4
1783489210.388,50.4,25.4
1783489211.41,50.4,25.4
1783489212.432,50.4,25.4
1783489213.455,50.4,25.4
1783489214.477,50.4,25.4
1783489215.5,50.3,25.4
1783489216.522,50.3,25.5
1783489217.545,50.3,25.4
1783489218.567,50.3,25.4
1783489219.59,50.3,25.4
1783489220.612,50.3,25.4
1783489221.635,50.2,25.4
1783489222.657,50.3,25.4
1783489223.68,50.3,25.4
1783489224.702,50.3,25.4
1783489225.724,50.2,25.4
1783489226.746,50.2,25.4
1783489227.769,50.2,25.4
1783489228.792,50.2,25.4
1783489229.815,50.1,25.4
1783489230.838,50.1,25.4
1783489231.86,50.1,25.4
1783489232.883,50.1,25.4
1783489233.906,50.0,25.4
1783489234.928,50.0,25.4
1783489235.951,49.9,25.4
